Conserved Antigen	Class
DCT	Canonical
GPNMB	Canonical
MITF	Canonical
MLANA	Canonical
PMEL	Canonical
TYR	Canonical
TYRP1	Canonical
MAGEA1	MAGE
MAGEA10	MAGE
MAGEA11	MAGE
MAGEA12	MAGE
MAGEA2	MAGE
MAGEA3	MAGE
MAGEA4	MAGE
MAGEA6	MAGE
MAGEA8	MAGE
MAGEA9	MAGE
MAGEB1	MAGE
MAGEB10	MAGE
MAGEB16	MAGE
MAGEB18	MAGE
MAGEB2	MAGE
MAGEB3	MAGE
MAGEB4	MAGE
MAGEB5	MAGE
MAGEB6	MAGE
MAGEC1	MAGE
MAGEC2	MAGE
MAGEC3	MAGE
MAGED1	MAGE
MAGED2	MAGE
MAGED4	MAGE
MAGEE1	MAGE
MAGEE2	MAGE
MAGEF1	MAGE
MAGEH1	MAGE
MAGEL2	MAGE
NDN	MAGE
NSMCE3	MAGE
BOLA2	SEGs
C1QTNF6	SEGs
C2orf15	SEGs
CBWD1	SEGs
CBWD6	SEGs
CC2D2A	SEGs
CYP51A1	SEGs
DDX47	SEGs
DLEU1	SEGs
DUSP4	SEGs
GPR89B	SEGs
GTF2H2C	SEGs
MBD5	SEGs
MTA2	SEGs
MTA3	SEGs
MTAP	SEGs
MTCH1	SEGs
MTCH2	SEGs
MTDH	SEGs
MTERF3	SEGs
MTFMT	SEGs
MTFR1	SEGs
MTFR1L	SEGs
MTG1	SEGs
MTHFD1	SEGs
MTHFD1L	SEGs
MTHFD2	SEGs
MTHFSD	SEGs
MTMR14	SEGs
MTMR2	SEGs
MTMR3	SEGs
MTMR4	SEGs
MTO1	SEGs
MTPN	SEGs
MTRR	SEGs
MTX1	SEGs
MTX2	SEGs
NOMO2	SEGs
NOMO3	SEGs
PAGR1	SEGs
PGAM4	SEGs
PSMA2	SEGs
PYURF	SEGs
SERF1	SEGs
SNURF	SEGs
SRSF8	SEGs
TIAF1	SEGs
TOMM6	SEGs
